מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,2172,מגדלי אלון הארגז תא,"נדל""ן מניב",ישראל,לא,2010-12-31,משרדים,בשימוש,"יגאל אלון  94, תל אביב , ישראל",0.06044,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2024-12-31,ILS,137165.37291,137165.37291,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.840033,0.002783
214,2172,בנין תדהר בהרצליה,"נדל""ן מניב",ישראל,לא,2010-12-22,משרדים,בשימוש,"בן גוריון  19, הרצליה, ישראל",0.06427,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2024-12-31,ILS,26120.21676,26120.21676,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.159966,0.00053
214,2174,בית עורק רמת גן,"נדל""ן מניב",ישראל,לא,2020-06-18,משרדים,בשימוש,"אבא הלל סילבר 16, רמת גן , ישראל",0.07164,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-05-25,ILS,1135.83999,1135.83999,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1.0,0.004054
214,2177,מגדלי אלון הארגז תא,"נדל""ן מניב",ישראל,לא,2010-12-31,משרדים,בשימוש,"יגאל אלון  94, תל אביב , ישראל",0.06044,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2024-12-31,ILS,8329.89242,8329.89242,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.901516,0.000849
214,2177,בית עורק רמת גן,"נדל""ן מניב",ישראל,לא,2020-06-18,משרדים,בשימוש,"אבא הלל סילבר 16, רמת גן , ישראל",0.07164,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-05-25,ILS,909.97505,909.97505,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.098483,9.2e-05
214,2203,בית עורק רמת גן,"נדל""ן מניב",ישראל,לא,2020-06-18,משרדים,בשימוש,"אבא הלל סילבר 16, רמת גן , ישראל",0.07164,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-05-25,ILS,226.26161,226.26161,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1.0,0.000117
214,9823,בית עורק רמת גן,"נדל""ן מניב",ישראל,לא,2020-06-18,משרדים,בשימוש,"אבא הלל סילבר 16, רמת גן , ישראל",0.07164,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-05-25,ILS,41426.63924,41426.63924,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1.0,0.001021
214,9827,בית עורק רמת גן,"נדל""ן מניב",ישראל,לא,2020-06-18,משרדים,בשימוש,"אבא הלל סילבר 16, רמת גן , ישראל",0.07164,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-05-25,ILS,5763.80667,5763.80667,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1.0,0.000447
214,9829,בית עורק רמת גן,"נדל""ן מניב",ישראל,לא,2020-06-18,משרדים,בשימוש,"אבא הלל סילבר 16, רמת גן , ישראל",0.07164,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-05-25,ILS,1324.77414,1324.77414,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1.0,0.000229
283,283,מגדל המלניום,"נדל""ן מניב",ישראל,לא,2021-10-01,משרדים,בשימוש,"הארבעה 17, תל אביב , ישראל",0.06574,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2024-12-02,ILS,25400.00014,25400.00014,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.342242,0.00145
283,283,"מגדל קרסו ב""ש","נדל""ן מניב",ישראל,לא,2021-10-01,משרדים,בשימוש,"קרן היסוד 4, באר שבע , ישראל",0.05854,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2024-11-15,ILS,31010.00003,31010.00003,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.417831,0.001769
283,283,גיתם נדלן מניב,"נדל""ן מניב",ישראל,לא,2021-10-01,משרדים,בשימוש,"ראול ולנברג 8, תל אביב , ישראל",0.06358,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-09-25,ILS,17806.40004,17806.40004,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.239925,0.001016
662,2164,מגדלי אלון הארגז תא,"נדל""ן מניב",ישראל,לא,2010-12-31,משרדים,בשימוש,"יגאל אלון  94, תל אביב , ישראל",0.06044,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2024-12-31,ILS,1851.07935,1851.07935,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.637127,0.001859
662,2164,בית עורק רמת גן,"נדל""ן מניב",ישראל,לא,2020-06-18,משרדים,בשימוש,"אבא הלל סילבר 16, רמת גן , ישראל",0.07164,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-05-25,ILS,1054.27396,1054.27396,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.362872,0.001058
662,9862,בית עורק רמת גן,"נדל""ן מניב",ישראל,לא,2020-06-18,משרדים,בשימוש,"אבא הלל סילבר 16, רמת גן , ישראל",0.07164,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-05-25,ILS,1041.20757,1041.20757,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1.0,0.0006
214,12027,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,12028,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,13415,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,14198,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,14199,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,14200,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,15038,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,15276,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,15277,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,15278,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,2173,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,2175,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,8588,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,8806,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,9097,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,12140,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,13278,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,13279,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,13424,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,13684,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,13685,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,14192,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,14193,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,14194,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,15039,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,15279,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,15280,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,15281,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,15282,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,2204,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,9856,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,9858,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
